ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
596,Causes the caster to inflict $s@effectindex% increased Cosmic damage.,Cosmic damage done increased by $s@effectindex%.,6,79,1,1,106,30,30
597,Inflicts Cosmic damage to all enemies in front of the caster every $t@effectindex sec for $d.,Cosmic damage inflicted every $t@effectindex sec.,6,70,1,9,106,50,50
598,Inflicts Cosmic damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.,Cosmic damage inflicted every $t@effectindex sec.,6,70,1,7,106,50,50
599,Causes all enemies within $A@effectindex yards of the impact to take Cosmic damage every $t@effectindex sec for $d.,Cosmic damage inflicted every $t@effectindex sec.,6,70,1,5,106,50,50
600,Inflicts Cosmic damage to an enemy every $t@effectindex sec for $d.,Cosmic damage inflicted every $t@effectindex sec.,6,70,1,3,106,50,50
601,Inflicts Cosmic damage to an enemy every $t@effectindex sec for $d.,Cosmic damage inflicted every $t@effectindex sec.,6,70,1,1,106,50,50
602,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Cosmic damage.,Absorbs $s@effectindex Cosmic damage.,6,69,1,3,106,0,0
603,Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Cosmic damage.,Absorbs $s@effectindex Cosmic damage.,6,69,1,1,106,0,0
604,Inflicts Shadow damage to enemies within $A@effectindex yards of the impact.,,165,0,1,5,32,50,50
605,Inflicts Shadow damage to an enemy every $t@effectindex sec for $d.,Shadow damage inflicted every $t@effectindex sec.,6,70,1,1,32,50,50
