ID,Field_10_0_2_45779_000,Field_10_0_2_45779_001,Field_10_0_2_45779_002,Field_10_0_2_45779_003,Field_10_0_2_45779_004
738,SFX - Dungeon - Midnight - 12.0 - Windrunner Spire - Ambience - Emitters,Emitters,197,735,1
739,SFX - Dungeon - Midnight - 12.0 - Windrunner Spire - Boss,Boss,197,681,1
740,SFX - Dungeon - Midnight - 12.0 - Windrunner Spire - Boss - 1. Emberdawn,1. Emberdawn,197,739,1
741,SFX - Dungeon - Midnight - 12.0 - Windrunner Spire - Boss - 2. Kalis and Latch,2. Kalis and Latch,197,739,1
742,SFX - Dungeon - Midnight - 12.0 - Windrunner Spire - Boss - 3. Commander Kroluk,3. Commander Kroluk,197,739,1
743,SFX - Dungeon - Midnight - 12.0 - Windrunner Spire - Boss - 4. Restless Hearth,4. Restless Hearth,197,739,1
744,SFX - Dungeon - Midnight - 12.0 - Murder Row,Murder Row,197,680,1
745,SFX - Dungeon - Midnight - 12.0 - Murder Row - Boss - 1 .Kystia,1 .Kystia,197,751,0.63095737
746,SFX - Dungeon - Midnight - 12.0 - Murder Row - Boss - 2. Zaen Bladesorrow,2. Zaen Bladesorrow,197,751,1
747,SFX - Dungeon - Midnight - 12.0 - Murder Row - Murder Row - Ambience,Murder Row - Ambience,197,744,1
748,SFX - Dungeon - Midnight - 12.0 - Murder Row - Murder Row - Ambience - Periodics,Periodics,197,747,1
749,SFX - Dungeon - Midnight - 12.0 - Murder Row - Murder Row - Ambience - Zone Tone,Zone Tone,197,747,1
750,SFX - Dungeon - Midnight - 12.0 - Murder Row - Murder Row - Ambience - Emitters,Emitters,197,747,1
751,SFX - Dungeon - Midnight - 12.0 - Murder Row - Boss,Boss,197,744,1
752,SFX - Dungeon - Midnight - 12.0 - Murder Row - Boss - 3. Xathuux the Annihilator,3. Xathuux the Annihilator,197,751,1
753,SFX - Dungeon - Midnight - 12.0 - Murder Row - Boss - 4. Lithiel Cinderfury,4. Lithiel Cinderfury,197,751,0.63095737
754,SFX - Ambience - Midnight - 12.0 Silvermoon ,Midnight - 12.0 Silvermoon ,197,189,1
755,SFX - Ambience - Midnight - 12.0 Silvermoon  - Zone Tones,Zone Tones,197,754,1
757,SFX - Ambience - Midnight - 12.0 Silvermoon  - Quel'Danas,Quel'Danas,197,754,1
763,SFX - Housing - Ambience - ZoneTone - Razorwind Shores,Razorwind Shores,197,687,1
764,SFX - Housing - Ambience - ZoneTone - Founder's Point,Founder's Point,197,687,0.70794576
765,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk,Den of Nalorakk,197,680,1
766,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk - Ambience,Ambience,197,765,1
767,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk - Boss,Boss,197,765,1
768,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk - Boss - 1. The Hoardmonger,1. The Hoardmonger,197,767,1
769,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk - Boss - 2. Sentinel of Winter,2. Sentinel of Winter,197,767,1
770,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk - Boss - 3. Nalorakk w/ Nanea and Zul'Jarra,3. Nalorakk w/ Nanea and Zul'Jarra,197,767,1
778,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk - Ambience - Dreamer's Passage,Dreamer's Passage,197,766,1
779,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk - Ambience - The Foraging,The Foraging,197,766,1
780,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk - Ambience - The Storm Approaches,The Storm Approaches,197,766,1
781,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk - Ambience - Enduring Winter,Enduring Winter,197,766,1
782,SFX - Dungeon - Midnight - 12.0 - Den of Nalorakk - Ambience - The Heart of Rage,The Heart of Rage,197,766,1
784,SFX - Dungeon - Midnight - 12.0 - Murder Row - Trash,Trash,197,744,1
785,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns,Maisara Caverns,197,680,1
786,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns - Ambience,Ambience,197,785,1
787,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns - Ambience - Periodic,Periodic,197,786,1
788,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns - Ambience - Emitter,Emitter,197,786,1
789,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns - Ambience - Zone Tone,Zone Tone,197,786,1
790,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns - Boss,Boss,197,785,1
791,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns - Boss - 1.Muro'jin and Nekraxx,1.Muro'jin and Nekraxx,197,790,1
794,SFX - Bestiary - Midnight - 12.0 - Cow 2,Cow 2,197,630,1
795,SFX - Housing - Ambience - Stereo Base,Stereo Base,197,686,1
796,SFX - Housing - Ambience - Stereo Base - Razorwind Shores,Razorwind Shores,197,795,1
797,SFX - Housing - Ambience - Stereo Base - Founder's Point,Founder's Point,197,795,1
798,SFX - Housing - Ambience - Stereo Base - Both Neighborhoods,Both Neighborhoods,197,795,1
799,SFX - Housing - Ambience - Periodic,Periodic,197,686,1
800,SFX - Housing - Ambience - Periodic - Razorwind Shores,Razorwind Shores,197,799,1
801,SFX - Housing - Ambience - Periodic - Founder's Point,Founder's Point,197,799,1
802,SFX - Housing - Ambience - Emitter,Emitter,197,686,1
803,SFX - Housing - Ambience - Emitter - Razorwind Shores,Razorwind Shores,197,802,1
804,SFX - Housing - Ambience - Emitter - Founder's Point,Founder's Point,197,802,1
805,SFX - Housing - Ambience - Emitter - Waterfall (Both Neighborhoods),Waterfall (Both Neighborhoods),197,802,1
806,SFX - Housing - Ambience - Emitter - River (Both Neighborhoods),River (Both Neighborhoods),197,802,1
807,SFX - Housing - Ambience - Emitter - Ocean (Both Neighborhoods),Ocean (Both Neighborhoods),197,802,1
808,SFX - Housing - Ambience - Stereo Base - Deep Water,Deep Water,197,795,1
809,SFX - Housing - Ambience - Emitter - Both Neighborhoods,Both Neighborhoods,197,802,1
810,SFX - Housing - Ambience - Emitter - Walla,Walla,197,802,1
811,SFX - Housing - Ambience - Emitter - Walla - Razorwind Shores,Razorwind Shores,197,810,1
812,SFX - Housing - Ambience - Emitter - Walla - Founder's Point,Founder's Point,197,810,1
813,SFX - Housing - Ambience - Periodic - Both Neighborhoods,Both Neighborhoods,197,799,1
814,SFX - Housing - Ambience - ZoneTone - Home Interior,Home Interior,197,687,1
815,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns - Boss - 2.Vordaza,2.Vordaza,197,790,1
818,SFX - Raid - Midnight,Midnight,197,69,1
819,SFX - Raid - Midnight - 12.0 March on Quel'Danas,12.0 March on Quel'Danas,197,818,1
820,SFX - Raid - Midnight - 12.0 March on Quel'Danas - 1. Belo'ren,1. Belo'ren,197,819,1
821,SFX - Raid - Midnight - 12.0 March on Quel'Danas - 2. L'ura,2. L'ura,197,819,0.70794576
822,SFX - Raid - Midnight - 12.0 March on Quel'Danas - Trash,Trash,197,819,1
823,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Trash,Trash,197,718,1
826,SFX - Ambience - Midnight - 12.0 Rootlands,Midnight - 12.0 Rootlands,197,189,1
827,SFX - Ambience - Midnight - 12.0 Rootlands - Periodics,Periodics,197,826,0.7943282
828,SFX - Ambience - Midnight - 12.0 Rootlands - Emitters,Emitters,197,826,1
831,SFX - Bestiary - Midnight - 12.0 - Kaiju,Kaiju,197,630,1
832,SFX - Bestiary - Midnight - 12.0 - Kaiju - Stalker,Stalker,197,831,1
833,SFX - Ambience - The War Within - 11.2.7 - Brawler's Guild,Brawler's Guild,197,525,1
834,SFX - Ambience - The War Within - 11.2.7 - Brawler's Guild - Game Objects,Game Objects,197,833,1
835,SFX - Ambience - The War Within - 11.2.7 - Brawler's Guild - Game Objects - Fireworks,Fireworks,197,834,0.63095737
836,SFX - Raid - Midnight - 12.0 Voidspire,12.0 Voidspire,197,818,1
837,SFX - Raid - Midnight - 12.0 Voidspire - Boss 03 - Salhadaar,Boss 03 - Salhadaar,197,836,1
838,SFX - Raid - Midnight - 12.0 Voidspire - Boss 02 - Kaiju,Boss 02 - Kaiju,197,836,1
839,SFX - Raid - Midnight - 12.0 Voidspire - Boss 01 - Host General,Boss 01 - Host General,197,836,0.5011872
840,SFX - Raid - Midnight - 12.0 Voidspire - Boss 04 - Void Dragons,Boss 04 - Void Dragons,197,836,0.5011872
841,SFX - Raid - Midnight - 12.0 Voidspire - Boss 05 - Paladins,Boss 05 - Paladins,197,836,1
842,SFX - Raid - Midnight - 12.0 Voidspire - Boss 06 - Alleria Windrunner,Boss 06 - Alleria Windrunner,197,836,1
843,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - RP,RP,197,718,1
844,SFX - Raid - Midnight - 12.0 Voidspire - Boss 05 - Paladins - 1. War Chaplain Senn (Holy),1. War Chaplain Senn (Holy),197,841,1
845,SFX - Raid - Midnight - 12.0 Voidspire - Boss 05 - Paladins - 2. General Amias Bellamy (Protection),2. General Amias Bellamy (Protection),197,841,1
846,SFX - Raid - Midnight - 12.0 Voidspire - Boss 05 - Paladins - 3. Commander Venel Lightblood (Retribution),3. Commander Venel Lightblood (Retribution),197,841,1
847,SFX - Taxi Path,Taxi Path,197,197,1
848,SFX - Taxi Path - 12.0 Midnight,12.0 Midnight,197,847,1
849,SFX - Taxi Path - 12.0 Midnight - Zone 1 - Eversong,Zone 1 - Eversong,197,848,0.63095737
850,SFX - Raid - Midnight - 12.0 Voidspire - Boss 05 - Paladins - 4. All Paladins (Shared Abilities),4. All Paladins (Shared Abilities),197,841,1
851,SFX - Bestiary - Midnight - 12.0 - Lightbloom Saptor,Lightbloom Saptor,197,630,0.8912509
852,SFX - Raid - Midnight - 12.0 Voidspire - Trash,Trash,197,836,1
853,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace,Magister's Terrace,197,680,1
855,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience,Ambience,197,853,1
856,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - Emitter,Emitter,197,855,1
857,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - Periodic,Periodic,197,855,1
858,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - Zone Tone,Zone Tone,197,855,1
859,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Boss,Boss,197,853,1
860,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Boss - 2. Seranel Sunlash,2. Seranel Sunlash,197,859,1
861,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Boss - 1. Arcanotron Custos,1. Arcanotron Custos,197,859,1
862,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Boss - 3. Gemellus,3. Gemellus,197,859,1
863,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Boss - 4. Degentrius,4. Degentrius,197,859,1
864,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Trash,Trash,197,853,1
865,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - RP,RP,197,853,1
866,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - Emitter - INT,INT,197,856,1
867,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - Emitter - EXT,EXT,197,856,1
868,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - Periodic - EXT,EXT,197,857,1
869,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - Periodic - INT,INT,197,857,1
870,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - EXT,EXT,197,855,1
871,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - INT,INT,197,855,1
872,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - Emitter - INT/EXT,INT/EXT,197,856,1
873,SFX - Housing - Decor - Gameobject: 12VD_Special_BridgeConsole_01,Gameobject: 12VD_Special_BridgeConsole_01,197,696,0.5011872
874,SFX - Housing - Decor - Gameobject: 12VD_Void_Ritual_SummoningPortal01,Gameobject: 12VD_Void_Ritual_SummoningPortal01,197,696,0.3548134
875,SFX - Ambience - Midnight - 12.0 Silvermoon  - Delves,Delves,197,754,1
876,SFX - Ambience - Midnight - 12.0 Silvermoon  - Delves - Collegiate Calamity,Collegiate Calamity,197,875,1
877,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns - Trash,Trash,197,785,1
878,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns - RP,RP,197,785,1
879,SFX - Dungeon - Midnight - 12.0 - Maisara Caverns - Boss - 3.Soul Amalgmation,3.Soul Amalgmation,197,790,1
880,SFX - Dungeon - Midnight - 12.0 - The Nexus Core,The Nexus Core,197,680,1
881,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - Ambience,Ambience,197,880,1
882,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - Ambience - ZoneTones,ZoneTones,197,881,1
883,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - Ambience - RoomTones,RoomTones,197,881,1
884,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - Ambience - Periodics,Periodics,197,881,1
885,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - Ambience - Emitters,Emitters,197,881,1
886,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - Boss,Boss,197,880,1
887,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - Boss - 1. Chief Corewright Kasreth,1. Chief Corewright Kasreth,197,886,1
888,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - Boss - 2. Corewarden Nysarra,2. Corewarden Nysarra,197,886,1
889,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - Boss - 3. Lothraxion,3. Lothraxion,197,886,1
890,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - Trash,Trash,197,880,1
891,SFX - Dungeon - Midnight - 12.0 - The Nexus Core - RP,RP,197,880,1
892,SFX - Ambience - Midnight - 12.0 Voidstorm - Entering Zone OneShot,Entering Zone OneShot,197,552,0.70794576
893,SFX - Ambience - Midnight - 12.0 Voidstorm - Delves,Delves,197,552,1
894,SFX - Ambience - Midnight - 12.0 Voidstorm - Delves - Sunkiller Sanctum,Sunkiller Sanctum,197,893,1
895,SFX - Delves,Delves,197,197,1
896,SFX - Delves - Midnight,Midnight,197,895,1
897,SFX - Delves - Midnight - 12.0.1,12.0.1,197,896,1
898,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts,Twilight Crypts,197,897,1
899,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Ambience,Ambience,197,898,1
900,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Ambience - Emitters,Emitters,197,899,1
901,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Ambience - Periodics,Periodics,197,899,1
902,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Ambience - RoomTones,RoomTones,197,899,1
903,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - V1,V1,197,898,1
904,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - V2,V2,197,898,1
905,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - V3,V3,197,898,1
906,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Ambience - RoomTones - Day,Day,197,902,1
907,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Ambience - RoomTones - Night,Night,197,902,1
909,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - RP,RP,197,898,1
910,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - V1 - World As Toys,World As Toys,197,903,1
911,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - V1 - Trash,Trash,197,903,1
914,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Ambience - Periodics - Day/Night,Day/Night,197,901,1
915,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Ambience - Periodics - Day,Day,197,901,1
916,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Ambience - Periodics - Night,Night,197,901,1
917,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - V2 - Trash,Trash,197,904,1
918,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Boss,Boss,197,898,1
919,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Boss - Blademaster Darza,Blademaster Darza,197,918,1
921,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - V3 - Trash,Trash,197,905,1
922,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - V3 - Rare,Rare,197,905,1
923,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - V3 - Rare - Wailing Spirit,Wailing Spirit,197,922,1
925,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - World As Toy,World As Toy,197,898,1
926,SFX - Delves - Midnight - 12.0.1 - Shadowguard Point,Shadowguard Point,197,897,1
927,SFX - Delves - Midnight - 12.0.1 - Shadowguard Point - Ambience,Ambience,197,926,1
928,SFX - Delves - Midnight - 12.0.1 - Shadowguard Point - Boss,Boss,197,926,1
929,SFX - Delves - Midnight - 12.0.1 - Shadowguard Point - Boss - V1,V1,197,928,1
930,SFX - Dungeon - Midnight - 12.0 - Magister's Terrace - Ambience - Emitter - Walla,Walla,197,856,1
931,SFX - Delves - Midnight - 12.0.1 - The Darkway,The Darkway,197,897,1
932,SFX - Delves - Midnight - 12.0.1 - The Darkway - Ambience,Ambience,197,931,1
933,SFX - Delves - Midnight - 12.0.1 - The Darkway - Ambience - Emitters,Emitters,197,932,1
934,SFX - Delves - Midnight - 12.0.1 - The Darkway - Ambience - Periodics,Periodics,197,932,0.7943282
935,SFX - Delves - Midnight - 12.0.1 - The Darkway - Ambience - RoomTones,RoomTones,197,932,1
936,SFX - Delves - Midnight - 12.0.1 - The Darkway - Ambience - Emitters - V1,V1,197,933,1
937,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss,Boss,197,931,1
938,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V1,V1,197,937,1
939,SFX - Delves - Midnight - 12.0.1 - The Darkway - Trash,Trash,197,931,1
940,SFX - Delves - Midnight - 12.0.1 - The Darkway - Quest,Quest,197,931,1
941,SFX - Delves - Midnight - 12.0.1 - The Darkway - Quest - V1,V1,197,940,1
942,SFX - Delves - Midnight - 12.0.1 - The Darkway - Mini Boss,Mini Boss,197,931,1
943,SFX - Delves - Midnight - 12.0.1 - The Darkway - Mini Boss - V1,V1,197,942,1
944,SFX - Delves - Midnight - 12.0.1 - Atal'Aman,Atal'Aman,197,897,1
945,SFX - Delves - Midnight - 12.0.1 - Atal'Aman - Ambience,Ambience,197,944,1
946,SFX - Delves - Midnight - 12.0.1 - Atal'Aman - Boss,Boss,197,944,1
947,SFX - Raid - Midnight - 12.0 March on Quel'Danas - Ambience,Ambience,197,819,0.00891251
948,SFX - Bestiary - Midnight - 12.0.1,12.0.1,197,629,1
949,SFX - Bestiary - Midnight - 12.0.1 - Amani Troll People,Amani Troll People,197,948,1
950,SFX - Delves - Midnight - 12.0.1 - The Darkway - Quest - V1 - Malfunctioning Leyline (Loop),Malfunctioning Leyline (Loop),197,941,0.3548134
951,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V3,V3,197,937,1
952,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V3 - RP,RP,197,951,1
953,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V3 - RP - Thirst For Power,Thirst For Power,197,952,1
954,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V3 - RP - Thirst For Power - Channel,Channel,197,953,0.56234133
955,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V3 - RP - Thirst For Power - Channel - Magic,Magic,197,954,0.7943282
956,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V3 - RP - Thirst For Power - Channel - Earthquake,Earthquake,197,954,0.7943282
957,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V3 - RP - Arcane Shrink Cast,Arcane Shrink Cast,197,952,1
958,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V3 - RP - Arcane Shrink Cast - Magic,Magic,197,957,0.70794576
959,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V3 - RP - Arcane Shrink Cast - Explosions,Explosions,197,957,0.8912509
960,SFX - Delves - Midnight - 12.0.1 - The Darkway - Boss - V2,V2,197,937,1
961,SFX - Delves - Midnight - 12.0.1 - The Darkway - Quest - V2,V2,197,940,1
962,SFX - Bestiary - Midnight - 12.0 - Creature Spells,Creature Spells,197,630,1
963,SFX - Bestiary - Midnight - 12.0 - Creature Spells - Generic,Generic,197,962,1
964,SFX - Bestiary - Midnight - 12.0 - Creature Spells - Generic - Shoot Bow,Shoot Bow,197,963,1
965,SFX - Bestiary - Midnight - 12.0 - Creature Spells - Generic - Shoot Bow - Precast,Precast,197,964,0.7943282
966,SFX - Bestiary - Midnight - 12.0 - Creature Spells - Generic - Shoot Bow - Precast - Arrow Load,Arrow Load,197,965,1
967,SFX - Bestiary - Midnight - 12.0 - Creature Spells - Generic - Shoot Bow - Precast - Bow Tension,Bow Tension,197,965,0.56234133
968,SFX - Bestiary - Midnight - 12.0 - Creature Spells - Generic - Shoot Bow - Cast,Cast,197,964,1
969,SFX - Bestiary - Midnight - 12.0 - Creature Spells - Generic - Shoot Bow - Cast - Impact,Impact,197,968,1
970,SFX - Delves - Midnight - 12.0.1 - Parhelion Plaza,Parhelion Plaza,197,897,0.5011872
971,SFX - Delves - Midnight - 12.0.1 - Twilight Crypts - Vignettes,Vignettes,197,898,1
972,SFX - Item - Trinket,Trinket,197,487,1
973,SFX - Item - Trinket - 12.0,12.0,197,972,1
974,SFX - Item - Trinket - 12.0 - Eye of the Drowning Void,Eye of the Drowning Void,197,973,0.63095737
975,SFX - Item - Trinket - 12.0 - Solar Core Igniter,Solar Core Igniter,197,973,1
976,SFX - Item - Trinket - 12.0 - Tumor of the Swarm,Tumor of the Swarm,197,973,0.63095737
977,SFX - Item - Trinket - 12.0 - Gift of Light,Gift of Light,197,973,1
978,SFX - Item - Trinket - 12.0 - Emberwing Feather,Emberwing Feather,197,973,1
979,SFX - Item - Trinket - 12.0 - Glorious Crusader's Keepsake,Glorious Crusader's Keepsake,197,973,1
980,SFX - Reuse - Lightbloom,Lightbloom,197,220,1
981,SFX - Item - Trinket - 12.0 - Radiant Foil,Radiant Foil,197,973,1
982,SFX - Item - Trinket - 12.0 - Solarflare Prism,Solarflare Prism,197,973,0.8912509
983,SFX - Item - Trinket - 12.0 - Radiant Sunstone,Radiant Sunstone,197,973,1
984,SFX - Item - Trinket - 12.0 - Holy Retributor's Order,Holy Retributor's Order,197,973,0.8912509
985,SFX - Item - Trinket - 12.0 - Abyss Sabre,Abyss Sabre,197,973,1
986,SFX - Bestiary - Midnight - 12.0 - Rare Creatures,Rare Creatures,197,630,1
987,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2,Z2,197,986,1
988,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga,Simple 8 - Oophaga,197,987,1
989,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Yolk Spit,Yolk Spit,197,988,1
990,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Yolk Spit - Precast,Precast,197,989,1
991,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Yolk Spit - Cast,Cast,197,989,1
992,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Yolk Spit - Impact,Impact,197,989,1
993,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Yolk Spit - Impact - Area,Area,197,992,1
994,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Yolk Spit - Impact - Target,Target,197,992,1
995,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Yolk Spit - Missile,Missile,197,989,1
996,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Yolk Spit - Missile Destination,Missile Destination,197,989,1
997,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Yolk Spit - State Loop,State Loop,197,989,1
998,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Poisonous Lick,Poisonous Lick,197,988,1
999,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Poisonous Lick - Cast,Cast,197,998,1
1000,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Poisonous Lick - Impact,Impact,197,998,1
1001,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Poisonous Lick - Precast,Precast,197,998,1
1002,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 8 - Oophaga - Poisonous Lick - State Loop,State Loop,197,998,1
1003,SFX - Delves - AI Companion,AI Companion,197,895,1
1004,SFX - Delves - AI Companion - Valeera Sanguinar,Valeera Sanguinar,197,1003,1
1005,SFX - Delves - AI Companion - Valeera Sanguinar - Ability,Ability,197,1004,1
1006,SFX - Delves - AI Companion - Valeera Sanguinar - Ability - Shared,Shared,197,1005,1
1007,SFX - Delves - AI Companion - Valeera Sanguinar - Ability - DPS,DPS,197,1005,1
1008,SFX - Delves - AI Companion - Valeera Sanguinar - Ability - Healer,Healer,197,1005,1
1009,SFX - Delves - AI Companion - Valeera Sanguinar - Ability - Tank,Tank,197,1005,1
1010,SFX - Delves - AI Companion - Valeera Sanguinar - Curio,Curio,197,1004,1
1011,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 11 - The Devouring Invader,Simple 11 - The Devouring Invader,197,987,1
1012,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 11 - The Devouring Invader - Void Spray,Void Spray,197,1011,1
1013,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 11 - The Devouring Invader - RP,RP,197,1011,1
1014,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 11 - The Devouring Invader - RP - Loop,Loop,197,1013,1
1015,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 11 - The Devouring Invader - RP - Explosion,Explosion,197,1013,1
1016,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 10 - Voidtouched Crustacean,Simple 10 - Voidtouched Crustacean,197,987,1
1017,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 10 - Voidtouched Crustacean - Arterial Corruption,Arterial Corruption,197,1016,1
1018,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 10 - Voidtouched Crustacean - Arterial Corruption - Precast,Precast,197,1017,0.7943282
1019,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 10 - Voidtouched Crustacean - Void Influenced State,Void Influenced State,197,1016,1
1020,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 10 - Voidtouched Crustacean - Vice Grip,Vice Grip,197,1016,1
1021,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 13 - Depthborn Eelamental,Simple 13 - Depthborn Eelamental,197,987,1
1022,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 13 - Depthborn Eelamental - Eel Expulsion,Eel Expulsion,197,1021,1
