ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
127567,Sardor Isle,127552,1,0,1393,0,0
127568,The Twin Colossals,127552,1,0,1372,0,0
127569,,0,0,4,0,0,0
127570,Elwynn Forest,127569,1,0,3068,0,0
127571,Burning Steppes,127569,1,0,3065,0,0
127572,Dun Morogh,127569,1,0,3066,0,0
127573,Redridge Mountains,127569,1,0,3071,0,0
127574,Stranglethorn Vale,127569,1,0,3072,0,0
127575,The Hinterlands,127569,1,0,3073,0,0
127576,Westfall,127569,1,0,3075,0,0
127577,Western Plaguelands,127569,1,0,3074,0,0
127578,Blasted Lands,127569,1,0,3064,0,0
127579,Hillsbrad Foothills,127569,1,0,3069,0,0
127580,Duskwood,127569,1,0,3067,0,0
127581,Loch Modan,127569,1,0,3070,0,0
127582,Arathi Highlands,127569,1,0,3063,0,0
127583,Wetlands,127569,1,0,5078,0,0
127584,,0,2,8,0,0,0
127585,Enchanting,127584,6,0,5553,0,2
127586,Jewelcrafting,127584,6,0,5557,0,2
127587,Leatherworking,127584,6,0,5558,0,2
127588,Mining,127584,6,0,5559,0,2
127589,Engineering,127584,6,0,5554,0,2
127590,Alchemy,127584,6,0,5551,0,2
127591,Skinning,127584,6,0,5560,0,2
127592,Herbalism,127584,6,0,5555,0,2
127593,Tailoring,127584,6,0,5561,0,2
127594,Blacksmithing,127584,6,0,5552,0,2
127595,Inscription,127584,6,0,5556,0,2
127596,,0,0,4,0,0,0
127597,Sorrow Hill,127596,1,0,1070,0,0
127598,Thondroril River,127596,1,0,1080,0,0
127599,Northridge Lumber Camp,127596,1,0,1076,0,0
127600,Dalson's Tears,127596,1,0,1074,0,0
127601,Gahrron's Withering,127596,1,0,1078,0,0
127602,Ruins of Andorhal,127596,1,0,1071,0,0
127603,Darrowmere Lake,127596,1,0,1068,0,0
127604,Caer Darrow,127596,1,0,1069,0,0
127605,The Writhing Haunt,127596,1,0,1075,0,0
127606,Felstone Field,127596,1,0,1073,0,0
127607,The Weeping Cave,127596,1,0,1079,0,0
127608,Hearthglen,127596,1,0,1077,0,0
127609,The Bulwark,127596,1,0,1072,0,0
127610,,0,0,4,0,0,0
127611,Become an artisan cook,127610,4,0,168,0,2
127612,,0,0,4,0,0,0
127613,Epic Items Looted,127612,0,0,6140,0,0
127614,,127612,0,0,5344,0,0
127615,,0,0,4,0,0,0
127616,,127615,0,0,448,0,0
127617,,0,0,4,0,0,0
127618,Elder Silvervein in Thelsamar,127617,1,0,1937,0,0
127619,Elder Dawnstrider in Flame Crest,127617,1,0,1940,0,0
127620,Elder Windrun in Eastern Plaguelands,127617,1,0,1946,0,0
127621,Elder Moonstrike in Scholomance,127617,1,0,1950,0,0
127622,Elder Goldwell in Kharanos,127617,1,0,1922,0,0
127623,Elder Bellowrage in Blasted Lands,127617,1,0,1923,0,0
127624,Elder Meadowrun in Western Plaguelands,127617,1,0,1925,0,0
127625,Elder Obsidian in The Sepulcher,127617,1,0,1945,0,0
127626,Elder Rumblerock in Burning Steppes,127617,1,0,1939,0,0
127627,Elder Snowcrown in Light's Hope Chapel,127617,1,0,1947,0,0
127628,Elder Stormbrow in Goldshire,127617,1,0,1924,0,0
127629,Elder Skychaser in Sentinel Hill,127617,1,0,1938,0,0
127630,Elder Highpeak in The Hinterlands,127617,1,0,1941,0,0
127631,Elder Starglade in Zul'Gurub,127617,1,0,1926,0,0
127632,Elder Winterhoof in Booty Bay,127617,1,0,1927,0,0
127633,Elder Graveborn in Brill,127617,1,0,1944,0,0
127634,Elder Ironband in Searing Gorge,127617,1,0,1942,0,0
127635,,0,0,4,0,0,0
127636,Lethlor Ravine,127635,1,0,1014,0,0
127637,Angor Fortress,127635,1,0,1023,0,0
127638,Camp Cagg,127635,1,0,1018,0,0
127639,Dustwind Gulch,127635,1,0,1024,0,0
127640,Agmond's End,127635,1,0,1016,0,0
127641,Apocryphan's Rest,127635,1,0,1019,0,0
127642,The Dustbowl,127635,1,0,1021,0,0
127643,Valley of Fangs,127635,1,0,1022,0,0
127644,The Maker's Terrace,127635,1,0,1026,0,0
127645,Camp Kosh,127635,1,0,1027,0,0
127646,Hammertoe's Digsite,127635,1,0,1025,0,0
127647,Mirage Flats,127635,1,0,1017,0,0
127648,Kargath,127635,1,0,1020,0,0
127649,Camp Boff,127635,1,0,1015,0,0
127650,,0,0,4,0,0,0
127651,Complete Elune's Blessing,127650,1,0,2003,0,2
127652,,0,0,7,0,0,0
127653,Flask of the Frost Wyrm,127652,0,0,4423,0,0
127654,Shattrath Flask of Relentless Assault,127652,0,0,4429,0,0
127655,Unstable Flask of the Beast,127652,0,0,4432,0,0
127656,Shattrath Flask of Supreme Power,127652,0,0,4430,0,0
127657,Unstable Flask of the Physician,127652,0,0,4434,0,0
127658,Unstable Flask of the Soldier,127652,0,0,4435,0,0
127659,Flask of Fortification,127652,0,0,4415,0,0
127660,Flask of Pure Mojo,127652,0,0,4419,0,0
127661,Flask of the Titans,127652,0,0,4424,0,0
127662,Shattrath Flask of Blinding Light,127652,0,0,4425,0,0
127663,Flask of Chromatic Resistance,127652,0,0,4411,0,0
127664,Flask of Blinding Light,127652,0,0,4410,0,0
127665,Flask of Chromatic Wonder,127652,0,0,4412,0,0
127666,Flask of Pure Death,127652,0,0,4418,0,0
127667,Flask of Relentless Assault,127652,0,0,4420,0,0
127668,Flask of Supreme Power,127652,0,0,4422,0,0
127669,Shattrath Flask of Fortification,127652,0,0,4426,0,0
127670,Shattrath Flask of Mighty Restoration,127652,0,0,4427,0,0
127671,Unstable Flask of the Bandit,127652,0,0,4431,0,0
127672,Flask of Distilled Wisdom,127652,0,0,4413,0,0
127673,Flask of Endless Rage,127652,0,0,4414,0,0
127674,Flask of Mighty Restoration,127652,0,0,4416,0,0
127675,Flask of Petrification,127652,0,0,4417,0,0
127676,Unstable Flask of the Elder,127652,0,0,4433,0,0
127677,Flask of Stoneblood,127652,0,0,4421,0,0
127678,Shattrath Flask of Pure Death,127652,0,0,4428,0,0
127679,Unstable Flask of the Sorcerer,127652,0,0,4436,0,0
127680,Flask of Endless Rage,127652,0,0,13248,0,0
127681,Flask of Pure Mojo,127652,0,0,13249,0,0
127682,Flask of Stoneblood,127652,0,0,13250,0,0
127683,Flask of the North,127652,0,0,13251,0,0
127684,Flask of the Frost Wyrm,127652,0,0,13252,0,0
127685,,0,0,4,0,0,0
127686,Shadow of the Betrayer,127685,0,0,3889,0,0
127687,Terror of Terokkar,127685,0,0,3917,0,0
127688,Nagrand Slam,127685,0,0,3918,0,0
127689,On the Blade's Edge,127685,0,0,3887,0,0
127690,Into the Nether,127685,0,0,3888,0,0
127691,To Hellfire and Back,127685,0,0,3915,0,0
127692,Mysteries of the Marsh,127685,0,0,3884,0,0
127693,,0,0,4,0,0,0
127694,Heroic The Nexus,127693,0,0,4057,0,0
127695,Heroic Halls of Stone,127693,0,0,4064,0,0
127696,Heroic Halls of Lightning,127693,0,0,4065,0,0
127697,Heroic The Oculus,127693,0,0,4066,0,0
127698,Heroic Utgarde Keep,127693,0,0,4056,0,0
127699,Heroic The Violet Hold,127693,0,0,4062,0,0
127700,Heroic Ahn'kahet: The Old Kingdom,127693,0,0,4060,0,0
127701,Heroic Utgarde Pinnacle,127693,0,0,4067,0,0
127702,Heroic Drak'Tharon Keep,127693,0,0,4061,0,0
127703,Heroic Gundrak,127693,0,0,4063,0,0
127704,Heroic Caverns of Time: Stratholme,127693,0,0,4058,0,0
127705,Heroic Azjol-Nerub,127693,0,0,4059,0,0
127706,,0,0,4,0,0,0
127707,Bashal'Aran,127706,1,0,1318,0,0
127708,Ruins of Mathystra,127706,1,0,1315,0,0
127709,Remtravel's Excavation,127706,1,0,1321,0,0
127710,Auberdine,127706,1,0,1314,0,0
127711,Tower of Althalaxx,127706,1,0,1316,0,0
127712,Ameth'Aran,127706,1,0,1319,0,0
127713,The Master's Glaive,127706,1,0,1322,0,0
127714,Cliffspring River,127706,1,0,1317,0,0
127715,Grove of the Ancients,127706,1,0,1320,0,0
127716,,0,0,4,0,0,0
127717,Win 300 ranked arena matches,127716,300,0,306,0,1
127718,,0,0,4,0,0,0
127719,"Dun Morogh, Kharanos",127718,1,0,2132,0,0
127720,"Elwynn Forest, Goldshire",127718,1,0,2134,0,0
127721,"Hillsbrad Foothills, Southshore",127718,1,0,2135,0,0
127722,"Wetlands, Menethil Harbor",127718,1,0,2142,0,0
127723,"Duskwood, Darkshire",127718,1,0,2133,0,0
127724,"Loch Modan, Thelsamar",127718,1,0,2138,0,0
127725,"Redridge Mountains, Lakeshire",127718,1,0,2139,0,0
127726,"Hinterlands, Aerie Peak",127718,1,0,2136,0,0
127727,"Westfall, Sentinel Hill",127718,1,0,2141,0,0
127728,"Ironforge, The Commons",127718,1,0,2137,0,0
127729,"Eastern Plaguelands, Light's Hope Chapel",127718,1,0,2145,0,0
127730,"Stormwind, The Trade District",127718,1,0,2140,0,0
127731,"Stranglethorn Vale, Booty Bay",127718,1,0,2146,0,0
127732,,0,0,4,0,0,0
127733,3 caps and no death,127732,3,0,3353,0,2
127734,,0,0,4,0,0,0
127735,50 honorable kills in the Hall of the Frostwolf,127734,50,0,3362,0,1
127736,,0,0,4,0,0,0
127737,Obtain 50 companion pets,127736,50,0,4788,0,1
127738,,0,1,8,0,0,0
127739,Kael'thas Sunstrider,127738,1,0,3253,0,2
127740,Hard to Kill,127738,1,0,4484,0,2
127741,,0,1,8,0,0,0
127742,Harbinger Skyriss,127741,1,0,3252,0,2
127743,Harbinger of Doom,127741,1,0,4482,0,2
127744,Trial of the Naaru: Tenacity,127741,1,0,4490,0,2
127745,,0,1,8,0,0,0
127746,Taragaman the Hungerer,127745,1,0,525,0,2
127747,Slaying the Beast,127745,1,0,4238,0,2
127748,,0,1,8,0,0,0
127749,Festive Green Dress,127748,1,0,499,0,2
127750,Festive Blue Pant Suit,127748,1,0,497,0,2
127751,Festive Purple Dress,127748,1,0,501,0,2
127752,Festive Pink Dress,127748,1,0,500,0,2
127753,Festive Black Pant Suit,127748,1,0,496,0,2
127754,Festive Teal Pant Suit,127748,1,0,498,0,2
127755,,0,0,4,0,0,0
127756,Prophet Velen,127755,1,0,491,0,2
127757,,0,0,4,0,0,0
127758,Patchwerk,127757,1,0,5110,0,0
127759,Gluth,127757,1,0,6416,0,0
127760,Thaddius,127757,1,0,5119,0,0
127761,Grobbulus,127757,1,0,5114,0,0
127762,,0,0,4,0,0,0
127763,Nothing Boring About Borean,127762,1,0,82,0,0
127764,Might of Dragonblight,127762,1,0,84,0,0
127765,The Empire of Zul'Drak,127762,1,0,5047,0,0
127766,Fo' Grizzle My Shizzle,127762,1,0,86,0,0
127767,The Summit of Storm Peaks,127762,1,0,5051,0,0
127768,Into the Basin,127762,1,0,5050,0,0
127769,I've Toured the Fjord,127762,1,0,83,0,0
127770,Icecrown: The Final Goal,127762,1,0,5052,0,0
127771,,0,0,4,0,0,0
127772,Daily quests complete,127771,0,0,4984,0,0
127773,,0,0,4,0,0,0
127774,Flimsy Female Dwarf Mask,127773,1,0,2262,0,0
127775,Flimsy Female Tauren Mask,127773,1,0,2267,0,0
127776,Flimsy Male Dwarf Mask,127773,1,0,2272,0,0
127777,Flimsy Male Human Mask,127773,1,0,2274,0,0
127778,Flimsy Male Tauren Mask,127773,1,0,2277,0,0
127779,Flimsy Male Gnome Mask,127773,1,0,2273,0,0
127780,Flimsy Male Nightelf Mask,127773,1,0,2275,0,0
127781,Flimsy Female Nightelf Mask,127773,1,0,2265,0,0
127782,Flimsy Male Draenei Mask,127773,1,0,2271,0,0
127783,Flimsy Male Undead Mask,127773,1,0,2279,0,0
127784,Flimsy Female Blood Elf Mask,127773,1,0,2260,0,0
127785,Flimsy Female Troll Mask,127773,1,0,2268,0,0
127786,Flimsy Female Undead Mask,127773,1,0,2269,0,0
127787,Flimsy Male Troll Mask,127773,1,0,2278,0,0
127788,Flimsy Female Draenei Mask,127773,1,0,2261,0,0
127789,Flimsy Female Gnome Mask,127773,1,0,2263,0,0
127790,Flimsy Female Human Mask,127773,1,0,2264,0,0
127791,Flimsy Female Orc Mask,127773,1,0,2266,0,0
127792,Flimsy Male Blood Elf Mask,127773,1,0,2270,0,0
127793,Flimsy Male Orc Mask,127773,1,0,2276,0,0
127794,,0,0,4,0,0,0
127795,Graccu's Mince Meat Fruitcake,127794,1,0,4230,0,2
127796,,0,1,8,0,0,0
127797,Ashes of Al'ar,127796,0,0,6166,0,2
127798,,0,0,4,0,0,0
127799,The Argent Crusade,127798,0,0,2418,0,0
127800,The Argent Dawn,127798,0,0,2023,0,0
127801,,0,1,8,0,0,0
127802,Swift Zulian Tiger,127801,0,0,6161,0,2
127803,,0,1,8,0,0,0
127804,Swift Nether Drake,127803,1,0,1867,0,2
127805,Swift Nether Drake,127803,0,0,6167,0,2
127806,,0,0,4,0,0,0
127807,Win Strand of the Ancients,127806,1,0,5898,0,2
127808,,0,0,4,0,0,0
127809,Blade's Edge Mountains,127808,1,0,3154,0,0
127810,Netherstorm,127808,1,0,3157,0,0
127811,Terokkar Forest,127808,1,0,3159,0,0
127812,Hellfire Peninsula,127808,1,0,3155,0,0
127813,Zangarmarsh,127808,1,0,3160,0,0
127814,Nagrand,127808,1,0,3156,0,0
127815,Shadowmoon Valley,127808,1,0,3158,0,0
127816,,0,0,4,0,0,0
127817,Let's Get This Done,127816,0,0,3424,0,0
127818,Arathi Basin Veteran,127816,0,0,3416,0,0
127819,Resilient Victory,127816,0,0,3422,0,0
127820,Territorial Dominance,127816,0,0,3423,0,0
127821,We Had It All Along *cough*,127816,0,0,3427,0,0
127822,Arathi Basin All-Star,127816,0,0,3429,0,0
127823,To The Rescue!,127816,0,0,3421,0,0
127824,Arathi Basin Assassin,127816,0,0,3430,0,0
127825,Disgracin' The Basin,127816,0,0,3419,0,0
127826,Overly Defensive,127816,0,0,3420,0,0
127827,Arathi Basin Perfection,127816,0,0,3417,0,0
127828,Me and the Cappin' Makin' it Happen,127816,0,0,3418,0,0
127829,,0,0,4,0,0,0
127830,Assault 3 bases in a single Arathi Basin battle,127829,3,0,123,0,2
127831,,0,0,4,0,0,0
127832,Orc,127831,1,0,2370,0,0
127833,Undead,127831,1,0,2372,0,0
127834,Troll,127831,1,0,2373,0,0
127835,Tauren,127831,1,0,2371,0,0
127836,Blood Elf,127831,1,0,2369,0,0
127837,,0,0,4,0,0,0
127838,Head,127837,1,0,2342,0,0
127839,Neck,127837,1,0,2343,0,0
127840,Shoulder,127837,1,0,2344,0,0
127841,Chest,127837,1,0,2345,0,0
127842,Legs,127837,1,0,2347,0,0
127843,Wrist,127837,1,0,2349,0,0
127844,Hands,127837,1,0,2350,0,0
127845,Left Ring,127837,1,0,2351,0,0
127846,Cloak,127837,1,0,2355,0,0
127847,Weapon,127837,1,0,2356,0,0
127848,Ranged,127837,1,0,2357,0,0
127849,Waist,127837,1,0,2346,0,0
127850,Feet,127837,1,0,2348,0,0
127851,First Trinket,127837,1,0,2353,0,0
127852,Right Ring,127837,1,0,5816,0,0
127853,Second Trinket,127837,1,0,5817,0,0
127854,,0,1,8,0,0,0
127855,Insignia of the Alliance,127854,1,0,779,0,2
127856,Insignia of the Alliance,127854,1,0,782,0,2
127857,Insignia of the Alliance,127854,1,0,783,0,2
127858,Insignia of the Alliance,127854,1,0,784,0,2
127859,Medallion of the Alliance,127854,1,0,791,0,2
127860,Medallion of the Alliance,127854,1,0,792,0,2
127861,Medallion of the Alliance,127854,1,0,793,0,2
127862,Medallion of the Alliance,127854,1,0,789,0,2
127863,Medallion of the Alliance,127854,1,0,795,0,2
127864,Insignia of the Alliance,127854,1,0,780,0,2
127865,Insignia of the Alliance,127854,1,0,787,0,2
127866,Insignia of the Alliance,127854,1,0,785,0,2
127867,Insignia of the Alliance,127854,1,0,786,0,2
127868,Medallion of the Alliance,127854,1,0,790,0,2
127869,Medallion of the Alliance,127854,1,0,788,0,2
127870,Medallion of the Alliance,127854,1,0,798,0,2
127871,Medallion of the Alliance,127854,1,0,794,0,2
127872,Medallion of the Alliance,127854,1,0,7870,0,2
127873,Insignia of the Alliance,127854,1,0,8741,0,2
127874,Insignia of the Alliance,127854,1,0,781,0,2
127875,Medallion of the Alliance,127854,1,0,796,0,2
127876,Medallion of the Alliance,127854,1,0,797,0,2
127877,Medallion of the Alliance,127854,1,0,13371,0,2
127878,Medallion of the Alliance,127854,1,0,12638,0,2
127879,,0,0,4,0,0,0
127880,Landmine Knockback,127879,1,0,5258,0,2
127881,,0,0,4,0,0,0
127882,I Found One!,127881,0,0,9863,0,0
127883,Chocoholic,127881,0,0,9864,0,0
127884,Hard Boiled,127881,0,0,9865,0,0
127885,Spring Fling,127881,0,0,9866,0,0
127886,Noble Garden,127881,0,0,9867,0,0
127887,Shake Your Bunny-Maker,127881,0,0,9868,0,0
127888,Desert Rose,127881,0,0,9869,0,0
127889,Blushing Bride,127881,0,0,9870,0,0
127890,,0,0,4,0,0,0
127891,The Exodar,127890,1,0,10224,0,0
127892,Silvermoon City,127890,1,0,9920,0,0
127893,Gnomeregan,127890,1,0,10225,0,0
127894,Thunder Bluff,127890,1,0,9921,0,0
127895,The Undercity,127890,1,0,9922,0,0
127896,Darnassus,127890,1,0,9918,0,0
127897,Sen'jin,127890,1,0,9919,0,0
127898,Ironforge,127890,1,0,10226,0,0
127899,Orgrimmar,127890,1,0,10227,0,0
127900,Stormwind,127890,1,0,10228,0,0
127901,,0,0,4,0,0,0
127902,Deadman's Crossing,127901,1,0,1158,0,0
127903,The Vice,127901,1,0,1159,0,0
127904,Karazhan,127901,1,0,1160,0,0
127905,,0,0,4,0,0,0
127906,Shadowsong Shrine,127905,1,0,1437,0,0
127907,Legash Encampment,127905,1,0,1431,0,0
127908,Ursolan,127905,1,0,1433,0,0
127909,Timbermaw Hold,127905,1,0,1434,0,0
127910,Valormok,127905,1,0,1435,0,0
127911,Ravencrest Monument,127905,1,0,1440,0,0
127912,Forlorn Ridge,127905,1,0,1443,0,0
127913,The Shattered Strand,127905,1,0,1410,0,0
127914,Jagged Reef,127905,1,0,1411,0,0
127915,Southridge Beach,127905,1,0,1439,0,0
127916,Bay of Storms,127905,1,0,1409,0,0
127917,Bitter Reaches,127905,1,0,1412,0,0
127918,Thalassian Base Camp,127905,1,0,1432,0,0
127919,Tower of Eldara,127905,1,0,1429,0,0
127920,Temple of Arkkoran,127905,1,0,1430,0,0
127921,Haldarr Encampment,127905,1,0,1436,0,0
127922,Ruins of Eldarath,127905,1,0,1438,0,0
127923,Lake Mennar,127905,1,0,1441,0,0
127924,The Ruined Reaches,127905,1,0,1442,0,0
127925,,0,0,4,0,0,0
127926,Complete 50 quests,127925,50,0,3631,0,1
127927,,0,0,4,0,0,0
127928,Assault a tower,127927,1,0,423,0,0
127929,Kill someone in the Field of Strife,127927,1,0,425,0,0
127930,Defend a graveyard,127927,1,0,422,0,0
127931,Assault a graveyard,127927,1,0,421,0,0
127932,Defend a tower,127927,1,0,424,0,0
127933,,0,0,4,0,0,0
127934,'Tis the Season,127933,0,0,6278,0,0
127935,Simply Abominable,127933,0,0,6280,0,0
127936,Let It Snow,127933,0,0,6281,0,0
127937,A Frosty Shake,127933,0,0,6285,0,0
127938,On Metzen!,127933,0,0,6274,0,0
127939,He Knows If You've Been Naughty,127933,0,0,6284,0,0
127940,Fa-la-la-la-Ogri'la,127933,0,0,6277,0,0
127941,Bros. Before Ho Ho Ho's,127933,0,0,6282,0,0
127942,Scrooge,127933,0,0,6276,0,0
127943,The Winter Veil Gourmet,127933,0,0,6283,0,0
127944,With a Little Helper from My Friends,127933,0,0,6275,0,0
127945,,0,0,4,0,0,0
127946,Archavon the Stone Watcher,127945,1,0,8744,0,2
127947,,0,0,4,0,0,0
127948,Plant 100 Seaforium charges which successfully damage a wall,127947,100,0,7632,0,1
127949,,0,0,4,0,0,0
127950,Destroy 100 vehicles using a turret,127949,100,0,7625,0,1
127951,,0,1,8,0,0,0
127952,Truesilver Shafted Arrow,127951,1,0,6323,0,2
127953,Peddlefeet,127951,0,0,6322,0,2
127954,,0,0,4,0,0,0
127955,Battle Ring of Gurubashi Arena,127954,1,0,6344,0,0
127956,Arathi Basin Blacksmith,127954,1,0,6345,0,0
127957,Naxxramas,127954,1,0,6347,0,0
127958,Wintergrasp,127954,1,0,6343,0,0
127959,The Culling of Stratholme,127954,1,0,6346,0,0
127960,,0,0,4,0,0,0
127961,Defeat Malygos with fewer than 9,127960,1,0,7174,0,2
127962,,0,0,4,0,0,0
127963,Level to 80,127962,80,0,5234,0,2
127964,,0,0,4,0,0,0
127965,Kill 20 XS-013 Scrapbots with an XE-321 Boombot,127964,20,0,10401,0,1
127966,,0,0,4,0,0,0
127967,Flame Leviathan,127966,1,0,10077,0,2
127968,,0,0,4,0,0,0
127969,Kill 20 XS-013 Scrapbots with an XE-321 Boombot,127968,20,0,10402,0,1
127970,,0,1,8,0,0,0
127971,Stormcaller Brundir,127970,1,0,10418,0,2
127972,Steelbreaker,127970,1,0,10419,0,2
127973,Runemaster Molgeim,127970,1,0,10088,0,2
127974,,0,0,4,0,0,0
127975,Brother Joshua in Stormwind,127974,1,0,6232,0,0
127976,Brother Nimetz in Stranglethorn Vale,127974,1,0,6228,0,0
127977,Brother Anton in Nijel's Point,127974,1,0,6236,0,0
127978,Brother Crowley in Stormwind,127974,1,0,6233,0,0
127979,Brother Kristoff in Stormwind,127974,1,0,6230,0,0
127980,Brother Karman in Theramore,127974,1,0,6231,0,0
127981,Brother Cassius in Stormwind,127974,1,0,6234,0,0
127982,Brother Wilhelm in Goldshire,127974,1,0,6229,0,0
127983,Brother Benjamin in Stormwind,127974,1,0,6235,0,0
127984,,0,0,4,0,0,0
127985,,127984,1,0,10391,0,2
127986,,0,1,8,0,0,0
127987,Gladiator,127986,1,0,7412,0,2
127988,Furious Gladiator,127986,1,0,12999,0,2
127989,Relentless Gladiator,127986,1,0,13000,0,2
127990,Deadly Gladiator,127986,1,0,10881,0,2
127991,,0,0,4,0,0,0
127992,Hallowed Be Thy Name,127991,0,0,7558,0,0
127993,Merrymaker,127991,0,0,7559,0,0
127994,To Honor One's Elders,127991,0,0,7553,0,0
127995,For The Children,127991,0,0,7555,0,0
127996,Brewmaster,127991,0,0,7557,0,0
127997,The Flame Warden,127991,0,0,7556,0,0
127998,Fool For Love,127991,0,0,7554,0,0
127999,Noble Gardener,127991,0,0,9879,0,0
128000,,0,0,4,0,0,0
128001,Obtain 25 mounts,128000,25,0,4787,0,1
128002,,0,0,4,0,0,0
128003,Defeat Grand Widow Faerlina without dispelling or preventing frenzy.,128002,1,0,7549,0,2
128004,,0,0,6,0,0,0
128005,Keristrasza,128004,0,0,7759,0,0
128006,Anub'arak,128004,0,0,7760,0,0
128007,The Prophet Tharon'ja,128004,0,0,7762,0,0
128008,Sjonnir The Ironshaper,128004,0,0,7786,0,0
128009,Ormorok the Tree-Shaper,128004,0,0,7771,0,0
128010,Gal'darah,128004,0,0,7784,0,0
128011,Ionar,128004,0,0,7788,0,0
128012,Volkhan,128004,0,0,7789,0,0
128013,Mage-Lord Urom,128004,0,0,7792,0,0
128014,Cyanigosa,128004,0,0,7763,0,0
128015,Dalronn the Controller,128004,0,0,7764,0,0
128016,Skarvald the Constructor,128004,0,0,7765,0,0
128017,Prince Keleseth,128004,0,0,7766,0,0
128018,Krik'thir the Gatewatcher,128004,0,0,7773,0,0
128019,Hadronox,128004,0,0,7774,0,0
128020,Meathook,128004,0,0,7801,0,0
128021,Chrono-Lord Epoch,128004,0,0,7802,0,0
128022,Salramm the Fleshcrafter,128004,0,0,7803,0,0
128023,Ingvar the Plunderer,128004,0,0,7758,0,0
128024,Novos the Summoner,128004,0,0,7779,0,0
128025,Svala Sorrowgrave,128004,0,0,7798,0,0
128026,Grand Magus Telestra,128004,0,0,7772,0,0
128027,Ley-Guardian Eregos,128004,0,0,7796,0,0
128028,Herald Volazj,128004,0,0,7761,0,0
128029,Prince Taldaram,128004,0,0,7775,0,0
128030,General Bjarngrim,128004,0,0,7787,0,0
128031,The Black Knight,128004,1,0,13262,0,0
128032,Argent Confessor Paletress,128004,0,0,13263,0,0
128033,Eadric the Pure,128004,0,0,13264,0,0
128034,Bronjahm,128004,0,0,13265,0,0
128035,Devourer of Souls,128004,0,0,13266,0,0
128036,Forgemaster Garfrost,128004,0,0,13267,0,0
128037,Ick,128004,0,0,13268,0,0
128038,Krik,128004,0,0,13269,0,0
128039,Scourgelord Tyrannus,128004,0,0,13270,0,0
128040,Falric,128004,0,0,13271,0,0
128041,Marwyn,128004,0,0,13272,0,0
128042,The Lich King,128004,0,0,13273,0,0
128043,Elder Nadox,128004,0,0,7776,0,0
128044,Jedoga Shadowseeker,128004,0,0,7777,0,0
128045,Trollgore,128004,0,0,7778,0,0
128046,King Dred,128004,0,0,7780,0,0
128047,Slad'ran,128004,0,0,7781,0,0
128048,Moorabi,128004,0,0,7782,0,0
128049,Loken,128004,0,0,7790,0,0
128050,Varos Cloudstrider,128004,0,0,7795,0,0
128051,Skadi the Ruthless,128004,0,0,7797,0,0
128052,Drakos the Interrogator,128004,0,0,7791,0,0
128053,King Ymiron,128004,0,0,7800,0,0
128054,Maiden of Grief,128004,0,0,7785,0,0
128055,Gortok Palehoof,128004,0,0,7799,0,0
128056,Anomalus,128004,0,0,7770,0,0
128057,Drakkari Colossus,128004,0,0,7783,0,0
128058,Mal'Ganis,128004,0,0,7804,0,0
128059,,0,0,4,0,0,0
128060,Champion of Ironforge,128059,1,0,9776,0,0
128061,Exalted with Ironforge,128059,42000,0,5330,0,0
128062,,0,0,4,0,0,0
128063,Freya,128062,1,0,10459,0,2
128064,,0,1,8,0,0,0
128065,Band of the Kirin Tor,128064,1,0,7401,0,2
128066,Signet of the Kirin Tor,128064,1,0,7402,0,2
128067,Loop of the Kirin Tor,128064,1,0,9418,0,2
128068,Ring of the Kirin Tor,128064,1,0,9419,0,2
128069,,0,0,6,0,0,0
128070,Portal to Dalaran,128069,0,0,4993,0,0
128071,Portal to Exodar,128069,0,0,4995,0,0
128072,Portal to Shattrath,128069,0,0,4996,0,0
128073,Portal to Ironforge,128069,0,0,4997,0,0
128074,Portal to Silvermoon,128069,0,0,4999,0,0
128075,Portal to Stonard,128069,0,0,5000,0,0
128076,Portal to Stormwind,128069,0,0,5001,0,0
128077,Portal to Theramore,128069,0,0,5002,0,0
128078,Portal to Thunder Bluff,128069,0,0,5003,0,0
128079,Portal to Undercity,128069,0,0,5004,0,0
128080,Portal to Shattrath,128069,0,0,4992,0,0
128081,Portal to Darnassus,128069,0,0,4994,0,0
128082,Portal to Orgrimmar,128069,0,0,4998,0,0
128083,,0,0,4,0,0,0
128084,He Knows If You've Been Naughty,128083,0,0,6284,0,0
128085,A Frosty Shake,128083,0,0,6285,0,0
128086,Scrooge,128083,0,0,6264,0,0
128087,On Metzen!,128083,0,0,6274,0,0
128088,'Tis the Season,128083,0,0,6278,0,0
128089,Bros. Before Ho Ho Ho's,128083,0,0,6270,0,0
128090,Let It Snow,128083,0,0,6281,0,0
128091,The Winter Veil Gourmet,128083,0,0,6283,0,0
128092,With a Little Helper from My Friends,128083,0,0,6275,0,0
128093,Simply Abominable,128083,0,0,6280,0,0
128094,Fa-la-la-la-Ogri'la,128083,0,0,6277,0,0
128095,,0,0,4,0,0,0
128096,A Gift for the High Priestess of Elune,128095,1,0,12838,0,0
128097,A Gift for the Prophet,128095,1,0,12839,0,0
128098,A Gift for the Lord of Ironforge,128095,1,0,12840,0,0
128099,A Gift for the King of Stormwind,128095,1,0,12841,0,0
128100,,0,1,8,0,0,0
128101,Flame Leviathan,128100,1,0,10420,0,2
128102,Flame Leviathan,128100,1,0,10421,0,2
128103,Flame Leviathan,128100,1,0,10089,0,2
