ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
Feast of Winter Veil: Kill 9 Festive Bosses,From {EventStartDate} - {EventEndDate} kill nine of the following bosses.,475,149897,50,474,-100
"Feast of Winter Veil: Slay The Abominable Greench (Twice, To Be Sure)",From {EventStartDate} - {EventEndDate} kill The Abominable Greench the Hillsbrad Foothills. Twice.,476,149911,50,0,-100
[DNT] Complete World Quests during World Quest Bonus Week,[DNT] From {EventStartDate} - {EventEndDate} complete world quests.,477,149857,50,0,0
Final Surge: Complete Quests,From {EventStartDate} - {EventEndDate} complete quests that grant experience and not trivial (low level).,478,149923,150,0,0
Final Surge: Complete World Quests,From {EventStartDate} - {EventEndDate} complete world quests.,479,149925,150,0,0
Complete the Misfit Dragons Storyline,Speak to Wrathion in the Emerald Dream to begin this storyline.,483,150035,50,0,0
Night Elf: Complete the Heritage Armor Storyline,"As a night elf, complete the following heritage armor quests:",484,150069,100,0,0
Gain Class Levels,Level up on any character.,486,150278,50,0,0
Gain Class Levels,Level up on any character.,487,149723,50,0,0
Feast of Winter Veil: Play with your Winter Veil Gift,"From {EventStartDate} - {EventEndDate}, gain 100 stacks total playing with your new toy or someone else's.",489,151021,200,0,-100
Have a Snowball Fight,"Hit other players with snowballs, or get hit by theirs! Snowballs can be purchased from Smokywood Pastures vendors in capital cities.",491,151329,25,0,0
Use the Bronze Dragon Banner Toy,Use the Bronze Dragon Banner toy on the Dragon Isles.,492,151369,50,0,0
Use the Bronze Racer's Pennant Toy and Emote /wave at Nozdormu,Use the Bronze Racer's Pennant toy and emote /wave at Nozdormu in Valdrakken.,493,151372,50,0,0
Use the Hourglass of Eternity Toy,Use the Hourglass of Eternity toy at the Temporal Conflux on the Dragon Isles.,494,151374,50,0,0
/flex at a Bronze Timekeeper Assistant,Emote /flex at a Bronze Timekeeper Assistant.,495,151392,25,0,0
Win 5 Pet Battles in Silithus,,496,151396,100,0,0
Use the Bronze Timepiece During a Dragonriding Race.,,497,151400,25,0,0
Call of the Scarab: Kill a Colossus,From {EventStartDate} - {EventEndDate} kill a Colossus in Silithus.,498,151404,50,0,-10
Call of the Scarab: Kill a Colossus at Each Hive,From {EventStartDate} - {EventEndDate} kill a Colossus at each of the Silithid Hives in Silithus.,499,151408,100,0,-11
Call of the Scarab: /taunt at an Opposite Faction Player,From {EventStartDate} - {EventEndDate} emote /taunt at an opposite faction player in Silithus.,500,151412,25,0,-9
Outland Cup: Complete 5 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Outland.,501,151414,100,0,0
Outland Cup: Complete 10 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Outland.,502,151416,150,501,0
Outland Cup: Complete 20 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Outland.,503,151418,200,502,0
Final Surge: Complete Dragonflight Dungeons,From {EventStartDate} - {EventEndDate} complete Dragonflight dungeons.,504,151511,150,0,0
Darkmoon Faire: Win 1 Arcade Game,From 9/1 - 9/7 win 1 of the following arcade games on Darkmoon Faire Island.,505,151640,50,0,0
Darkmoon Faire: Win 5 Arcade Games,From 9/1 - 9/7 win 5 of the following arcade games on Darkmoon Faire Island.,506,151642,100,505,0
Win 5 Pet Battles in the Emerald Dream,,507,151646,100,0,0
Gain Class Levels,Level up on any character.,508,151650,100,0,0
/ponder in Amirdrassil,Emote /ponder while in Amirdrassil in the Emerald Dream.,509,151652,25,0,0
Kill Creatures in the Emerald Dream,Kill creatures that grant experience while in the Emerald Dream on the Dragon Isles.,510,151658,100,0,0
Complete the Big Time Adventurer Storyline,"Speak with Nozdormu in the Temporal Conflux in Thaldraszus to begin the quest ""Tumbling Through Time"".",511,151660,200,0,0
Darkmoon Faire: Use the Everlasting Darkmoon Firework Toy on Darkmoon Faire Island,From 1/7 - 1/13 use the Everlasting Darkmoon Firework toy on Darkmoon Faire Island.,512,151686,25,0,0
Slay Players in The Emerald Dream,,513,151688,50,0,0
Call of the Scarab: Complete Silithyst,From {EventStartDate} - {EventEndDate} complete the world quest Silithyst in Silithus.,514,151833,50,0,-5
Call of the Scarab: Donate War Supplies,From {EventStartDate} - {EventEndDate} donate war supplies 3 times to the cause in Silithus.,515,151923,100,0,-6
Complete the Bronze Hatchling quests,Complete the Bronze Hatchling quests at the Little Scales Daycare in Valdrakken.,516,151957,100,0,0
Use the Stasis Sand Toy,Use the Stasis Sand toy at the Temporal Conflux on the Dragon Isles.,517,151982,50,0,0
Complete 1 Follower Dungeon,,518,152017,50,0,0
Complete 5 Follower Dungeons,,519,152023,150,518,0
Complete the Gilneas Reclamation storyline,Speak to Genn Greymane in Stormwind or Calia Menethil in Silverpine Forest to begin this storyline.,520,153375,150,0,0
Complete 5 Azerothian Archives World Quests,Complete Azerothian Archives world quests on the Dragon Isles.,521,153597,50,0,0
Complete 15 Azerothian Archives World Quests,Complete Azerothian Archives world quests on the Dragon Isles.,522,153609,150,521,0
/wave at Provisioner Aristta,Emote /wave at Provisioner Aristta in Algeth'ar Academy.,523,153611,50,0,0
Complete 1 Azerothian Archives Big Dig,Complete an Azerothian Archives Big Digs on the Dragon Isles.,524,153632,50,0,0
Complete 5 Azerothian Archives Big Digs,Complete Azerothian Archives Big Digs on the Dragon Isles.,525,153634,150,524,0
Win a Pet Battle with a Lovely Pet,"Win a pet battle with the Heartseeker Moth, Peddlefeet, or Lovebird Hatchling.",526,154011,50,0,0
Win a Pet Battle with All Three Lovely Pets,"Win a pet battle with the Heartseeker Moth, Peddlefeet, and Lovebird Hatchling.",527,154013,100,526,0
Gain 10 Profession Knowledge Points,Gain Dragon Isles knowledge in any crafting or gathering profession.,528,154015,50,0,0
Gain 25 Profession Knowledge Points,Gain Dragon Isles knowledge in any crafting or gathering profession.,529,154027,100,528,0
Complete 15 World Quests in War Mode,,530,154039,50,0,0
Dragon Isles Alchemy: Make a Discovery,"As an alchemist, discover a new Dragon Isles recipe through experimentation.",531,154041,50,0,0
Sample the Dragonflight Scenarios,"Complete a Time Rift, Community Feast, and Superbloom event.",532,154043,100,0,0
Love is in the Air: Complete All 6 Daily Quests,From {EventStartDate} - {EventEndDate} complete all of the following daily quests:,533,154051,100,0,0
Love is in the Air: Complete the Crown Chemical Co. Storyline,From {EventStartDate} - {EventEndDate} complete all of the following quests:,534,154061,100,0,0
Love is in the Air: Donate to the Artisan's Consortium,From {EventStartDate} - {EventEndDate} give a significant donation to the Artisan's Consortium at the Gala of Gifts.,535,154065,25,0,0
Love is in the Air: Discover True Relief,"From {EventStartDate} - {EventEndDate} reach 250 stacks of Relieving Frustration by attacking dummies during the quest ""The Gift of Relief"".",536,154067,50,0,0
Love is in the Air: Throw Rose Petals on Players,From {EventStartDate} - {EventEndDate} throw a Handful of Rose Petals on each of the following classes:,537,154069,50,0,0
Love is in the Air: Launch Pink Fireworks While Wearing a Rose,From {EventStartDate} - {EventEndDate} launch 5 Pink Brightbursts while wearing a colored rose from the Gala of Gifts.,538,154083,25,0,0
Love is in the Air: Love Yourself,From {EventStartDate} - {EventEndDate} complete The Gift of Self-Care three different ways.,539,154085,100,0,0
Lunar Festival: Complete the Lunar Preservation Quest,From {EventStartDate} - {EventEndDate} speak to Myrael Lunarbloom in Moonglade to begin the quest.,540,154089,50,0,0
Lunar Festival: Collect an Elder's Moonstone,From {EventStartDate} - {EventEndDate} find an Elder's Moonstone in a Lucky Red Envelope given by Elders across Azeroth.,541,154091,50,0,0
Lunar Festival: Collect 10 Elder's Moonstones,From {EventStartDate} - {EventEndDate} find 10 Elder's Moonstones in Lucky Red Envelopes given by Elders across Azeroth.,542,154093,150,541,0
Lunar Festival: Eat a Dumpling and Shoot Fireworks,From {EventStartDate} - {EventEndDate} eat a Festival Dumpling and shoot a Festival Firecracker.,543,154095,25,0,0
Darkmoon Faire: Win 1 Arcade Game,From 10/6 - 10/12 win 1 of the following arcade games on Darkmoon Faire Island.,544,154101,50,0,0
Darkmoon Faire: Win 5 Arcade Games,From 10/6 - 10/12 win 5 of the following arcade games on Darkmoon Faire Island.,545,154105,100,544,0
Complete Follower Dungeons as Each Role,"Complete follower dungeons as a tank, healer, and damage dealer.",546,154140,100,0,0
"Gain 10 Levels as a Priest, Shaman, or Druid",,547,154146,100,0,0
Rekindle the Braziers of Maldraxxus,"Complete the ""Calling the Champions"" world quest in Maldraxxus.",548,154148,25,0,0
Trading Post Anniversary: Purchase a New Transmog from the Trading Post,,549,154150,25,0,0
Trading Post Anniversary: Play With Your New Toy,Use one of the following toys from last year's Trading Post catalog:,550,154152,25,0,0
Trading Post Anniversary: Win Pet Battles with Trading Post Pets,Win pet battles using at least one pet from last year's Trading Post catalog.,551,154156,50,0,0
Trading Post Anniversary: Celebrate with Food and Dance,Eat Goblin Gumbo and use the D.I.S.C.O. toy.,552,154158,25,0,0
Love is in the Air: Picnic at the Scenic Getaways,From {EventStartDate} - {EventEndDate} share a Romantic Picnic Basket at each of the locations offered by the Scenic Getaway Portal.,553,154162,50,0,0
Host an Ember Court,"As a member of the Venthyr covenant, speak to Foreman Flatfinger in Sinfall to unlock the Ember Court.",554,154196,50,0,0
Host 5 Ember Courts,"As a member of the Venthyr covenant, speak to Foreman Flatfinger in Sinfall to unlock the Ember Court.",555,154198,100,554,0
"Take a S.E.L.F.I.E. with a Tiara, Top Hat, or Monocle",Speak to Arielle Snapflash in Stormwind or Vivica Starshot in Orgrimmar to acquire a S.E.L.F.I.E. Camera.,556,154204,25,0,0
Keep Things Civilized,Drink the following teas:,557,154206,50,0,0
Complete Quests in Suramar,,558,154214,100,0,0
Win a Duel while Dressed to Kill,"Defeat another player in a duel while wearing a tiara, top hat, or monocle.",559,154218,25,0,0
Win 5 Duels while Dressed to Kill,"Defeat other players in duels while wearing a tiara, top hat, or monocle.",560,154220,50,559,0
/Bow to Your Arena Opponent,,561,154222,25,0,0
First Class Traveler,Spend a total of 25 gold at flight masters and other transport services.,562,154224,25,0,0
Craft |A:Professions-Icon-Quality-Tier3-Small:16:16|a Dragonflight Gems,,563,154226,50,0,0
Fish Up a Coin of the Isles,,564,154228,50,0,0
"Gain 10 Levels as a Warlock, Mage, or Paladin",,565,154233,100,0,0
Win a PvP Pet Battle with 3 Humanoid Pets,,566,154235,75,0,0
Taste the Ruby Feast's Fancy Foods,Sample 5 of the foods at the Ruby Feast in Valdrakken.,567,154237,25,0,0
Complete the Chess Event in Karazhan,,568,154258,75,0,0
Tell Your Dungeon Follower They're /Magnificent,Emote /magnificent at a Follower in a Follower Dungeon.,569,154260,25,0,0
Graduate from Algeth'ar Academy in a Full Tuxedo,"Defeat the Echo of Doragosa while wearing a Tuxedo Jacket, Shirt, and Pants.",570,154262,50,0,0
/Bow or /Curtsey at Fancy Nobles in the Court of Stars,,571,154264,25,0,0
Darkmoon Faire: Purchase Noble Attire or /Flex Your Outfit,From 3/3 - 3/9 purchase a piece of Noble fashion from Chester or emote /flex at him while wearing the entire Noble outfit.,572,154267,75,0,0
Hearthstone's 10th Anniversary: Defeat Whizbang,"From {EventStartDate} - {EventEndDate} defeat Whizbang at Stormwind, Orgrimmar, or Valdrakken.",573,154270,25,0,0
Hearthstone's 10th Anniversary: Defeat Whizbang 5 Times,"From {EventStartDate} - {EventEndDate} defeat Whizbang at Stormwind, Orgrimmar, or Valdrakken.",574,154272,50,573,0
Hearthstone's 10th Anniversary: Defeat Whizbang 15 Times,"From {EventStartDate} - {EventEndDate} defeat Whizbang at Stormwind, Orgrimmar, or Valdrakken.",575,154274,100,574,0
Darkmoon Faire: Discover Your Fortune,From 3/3 - 3/9 receive a fortune from Sayge on Darkmoon Faire Island.,576,154288,25,0,0
Northrend Cup: Complete 5 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper in Northrend.,577,156751,100,0,0
Northrend Cup: Complete 10 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper in Northrend.,578,156753,150,577,0
Northrend Cup: Complete 20 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper in Northrend.,579,156755,200,578,0
Noblegarden: Complete 2 Daily Quests,From {EventStartDate} - {EventEndDate} complete Noblegarden daily quests.,580,156760,50,0,0
Noblegarden: Complete 6 Daily Quests,From {EventStartDate} - {EventEndDate} complete Noblegarden daily quests.,581,156762,50,580,0
Noblegarden: Complete the Duck Storyline,From {EventStartDate} - {EventEndDate} speak to Zinnia Brooks in Goldshire or Sylnaria Fareflame in Razor Hill to being this storyline.,582,156764,50,0,0
Noblegarden: Defeat Daetan Swiftplume,From {EventStartDate} - {EventEndDate} defeat Daetan Swiftplume.,583,156801,50,0,0
Noblegarden: Complete 12 Daily Quests,From {EventStartDate} - {EventEndDate} complete Noblegarden daily quests.,584,156777,50,581,0
Noblegarden: Complete a Dragonflight Dungeon While Wearing Spring Reveler's Collection,"From {EventStartDate} - {EventEndDate} complete a Dragonflight dungeon while wearing either a Spring Reveler's Dress, Spring Reveler's Sun Hat or Spring Reveler's Attire.",585,156779,50,0,0
/chicken at a Guard while Disguised as a Thistleleaf,Emote /chicken at a Stormwind City Guard or Orgrimmar Grunt while under the effects of the Thistleleaf Branch.,586,156856,100,0,-40
Darkmoon Faire: Earn 5 Darkmoon Prize Tickets,From 5/5 - 5/11 earn Darkmoon Prize Tickets from the Darkmoon Faire.,588,156858,75,0,0
Darkmoon Faire: Complete Test Your Strength,From 5/5 - 5/11 complete the quest Test Your Strength on Darkmoon Faire Island.,589,156861,125,0,0
Darkmoon Faire: Defeat the Pet Tamers,From 5/5 - 5/11 defeat the Master Tamers on Darkmoon Faire Island.,590,156864,75,0,0
Draenei: Complete the Heritage Armor Storyline,"As a draenei, complete the following heritage armor quests:",591,156867,100,0,0
Troll: Complete the Heritage Armor Storyline,"As a Darkspear troll, complete the following heritage armor quests:",592,156884,100,0,0
Complete the Hunt for the Harbinger Storyline,Complete the following quests:,593,156908,100,0,0
Pandaria: Remix: Complete 5 Daily Quests,Complete daily quests with a Timerunner.,594,156978,50,0,0
Pandaria: Remix: Complete 10 Daily Quests,Complete daily quests with a Timerunner.,595,156982,50,594,0
Pandaria: Remix: Complete 20 Daily Quests,Complete daily quests with a Timerunner.,596,156984,100,595,0
"Pandaria: Remix: Earn 1,000 Bronze",Earn Bronze with a Timerunner.,597,157016,50,0,0
"Pandaria: Remix: Earn 12,000 Bronze",Earn Bronze with a Timerunner.,598,157018,150,597,0
"Pandaria: Remix: Earn 25,000 Bronze",Earn Bronze with a Timerunner.,599,157020,150,598,0
Pandaria: Remix: Complete the Infinites Campaign,Complete the following quests:,600,157022,50,0,0
Pandaria: Remix: Gain 10 Class Levels,Level up on any Timerunner character.,601,157029,50,0,0
Pandaria: Remix: Gain 30 Class Levels,Level up on any Timerunner character.,602,157035,100,601,0
Pandaria: Remix: Upgrade 2 Items,,603,157037,50,0,0
Pandaria: Remix: Upgrade 5 Items,,604,157039,50,603,0
Defeat 10 Dragonflight Raid Bosses,,605,0,200,0,0
Complete a PvP World Quest on Khaz Algar,,606,157127,100,0,0
Earn Reputation Throughout Khaz Algar,,607,157129,70,0,0
Final Surge: Complete War Within Dungeons,From {EventStartDate} - {EventEndDate} complete War Within dungeons.,608,157138,150,0,0
Complete 5 Delves,,609,157151,50,645,0
/wave to Magister Umbric in Telogrus Rift,Emote /wave to Magister Umbric in Telogrus Rift,610,157200,50,0,0
Complete the Be Yourself Storyline,Complete the following quests:,611,157202,200,0,0
Darkmoon Faire: Fish Up Items on Darkmoon Island,From 6/2 - 6/8 fish up items on Darkmoon Island,612,157210,75,0,0
Recover Dragonriding Vigor While Ground Skimming in Thousand Needles or The Cape of Stranglethorn Vale,,613,157212,100,0,0
Use a Fishing Chair and Colorful Beach Chair in Valdrakken,Use the toy Fishing Chair and Colorful Beach Chair in Valdrakken.,614,157262,75,0,0
"Darkmoon Faire: Sample ""Goods"" from Rona Greenteeth",From 7/7 - 7/13 consume the food and goods from Rona Greenteeth.,616,157305,50,0,0
Darkmoon Faire: /dance with Kolin the Dancing Bear,From 7/7 - 7/13 emote /dance with Kolin the Dancing Bear on Darkmoon Island.,617,157309,50,0,0
Pandaria: Remix:  /sit at Eternus in the Jade Forest,Emote /sit at Eternus in the Jade Forest with a Timerunner.,618,157311,50,0,0
"Pandaria: Remix: Complete 3 Scenarios, Dungeons or Raids",,619,157316,100,0,0
Midsummer Fire Festival: Complete 2 Daily Quests,From {EventStartDate} - {EventEndDate} complete Midsummer Fire Festival daily quests.,620,157507,50,0,0
Midsummer Fire Festival: Complete 5 Daily Quests,From {EventStartDate} - {EventEndDate} complete Midsummer Fire Festival daily quests.,621,157519,50,620,0
Midsummer Fire Festival: Complete 7 Daily Quests,From {EventStartDate} - {EventEndDate} complete Midsummer Fire Festival daily quests.,622,157531,50,621,0
Get X-tremely Water Blasted,Get blasted by a X-treme Water Blaster several times in quick succession.,623,157543,75,0,0
Become an X-treme Water Blaster Master,Blast someone with a X-treme Water Blaster several times in quick succession.,624,157635,75,0,0
Open Zskera Vault Doors,Use Zskera Vault Keys to open doors in the Zskera Vaults.,625,157668,100,0,0
Loot A Treasure Chest in Niffen Caves,Loot a treasure chest while exploring caves alongside a niffen companion in Zaralek Cavern.,626,157670,75,0,0
Kill Researchers Under Fire Creatures,Kill Researchers Under Fire creatures at the Ruins of Drekazera in Zaralek Cavern.,627,157673,75,0,0
Darkmoon Faire: Ride a Sandbox Tiger,From 8/4 - 8/10 ride a Sandbox Tiger on Darkmoon Faire Island.,628,161823,50,0,0
Darkmoon Faire: Ride a Darkmoon Strider,From 8/4 - 8/10 ride a Darkmoon Strider on Darkmoon Faire Island.,629,161825,50,0,0
Sample a Dragonflight Scenario,"Complete either a Time Rift, Community Feast, or Superbloom event.",630,161830,75,0,0
Pandaria: Remix: /flex at Pythagorus,Emote /flex at Pythagorus with a Timerunner.,631,161837,25,0,0
Radiant Echoes: Collect 100 Residual Memories,Collect Residual Memories from the Radiant Echoes around Azeroth.,632,163091,100,0,0
Radiant Echoes: Collect 1000 Residual Memories,Collect Residual Memories from the Radiant Echoes around Azeroth.,633,163093,100,632,0
Radiant Echoes: Collect 5000 Residual Memories,Collect Residual Memories from the Radiant Echoes around Azeroth.,634,163095,100,633,0
"Radiant Echoes: Collect 10,000 Residual Memories",Collect Residual Memories from the Radiant Echoes around Azeroth.,635,163097,100,634,0
Radiant Echoes: Defeat 1 Radiant Memory,Defeat Radiant Memories around Azeroth.,636,163101,100,0,0
Radiant Echoes: Defeat 5 Radiant Memories,Defeat Radiant Memories around Azeroth.,637,163103,100,636,0
Radiant Echoes: Defeat 10 Radiant Memories,Defeat Radiant Memories around Azeroth.,638,163105,100,637,0
Radiant Echoes: Defeat 15 Radiant Memories,Defeat Radiant Memories around Azeroth.,639,163107,150,638,0
Radiant Echoes: Defeat the Remembered Firelord,,640,163109,150,0,0
Radiant Echoes: Defeat the Remembered Onyxia,,641,163111,150,0,0
Radiant Echoes: Defeat the Remembered Lich King,,642,163113,150,0,0
,,643,0,150,0,0
Defeat Pet Tamers on Khaz Algar,Defeat 2 Pet Tamers on Khaz Algar.,644,163885,100,0,0
Complete A Delve,,645,163960,50,0,0
Complete 10 Delves,,646,163962,50,609,0
Defeat Khaz Algar Elite Pets,Defeat 2 Khaz Algar elite pets.,647,163967,100,0,0
Capture an Uncommon Rarity Battle Pet,Capture an uncommon rarity battle pet in Khaz Algar.,648,163972,50,0,0
Capture an Umbral Amalgam Battle Pet,Capture the Umbral Amalgam in Hallowfall.,649,163976,100,0,0
Complete A Theater Troupe Play,On Khaz Algar complete a Theater Troupe play.,650,163978,50,0,0
Complete 5 Theater Troupe Play,On Khaz Algar complete Theater Troupe plays.,651,163980,50,650,0
Complete 10 Theater Troupe Play,On Khaz Algar complete Theater Troupe plays.,652,163982,50,651,0
/Bow at Stage Manager Huberta,Emote /bow at Stage Manager Huberta on the Isle of Dorn in the Proscenium.,653,163997,30,0,0
/Bow at the Theater Troupe Actors,"Emote /bow at Elma, Wendelinne, Rabaan and Burkhalt on the Isle of Dorn in the Proscenium.",654,163999,30,0,0
Complete All Theater Troupe Plays,On Khaz Algar complete all Theater Troupe plays.,655,164133,100,0,0
Earn 2 Odd Globs of Wax,While Snuffling on Khaz Algar earn Odd Globs of Wax.,656,164156,50,0,0
Earn 10 Odd Globs of Wax,While Snuffling on Khaz Algar earn Odd Globs of Wax.,657,164158,50,656,0
Earn 25 Odd Globs of Wax,While Snuffling on Khaz Algar earn Odd Globs of Wax.,658,164160,50,657,0
Complete a Weekly Snuffling Quest,,659,164164,50,0,0
Complete Snuffling Events Across Khaz Algar,Earn Odd Globs of Wax in each Khaz Algar zone.,660,164167,100,0,0
Awakening the Machine: Defeat 10 Waves of Enemies,On Khaz Algar defeat waves of enemies during the Awaking the Machine event.,661,164217,50,0,0
Awakening the Machine: Defeat 20 Waves of Enemies,On Khaz Algar defeat waves of enemies during the Awaking the Machine event.,662,164219,50,661,0
Awakening the Machine: Defeat 40 Waves of Enemies,On Khaz Algar defeat waves of enemies during the Awaking the Machine event.,663,164221,100,662,0
"Awakening the Machine: Complete ""Worldsoul: Awakening Machine""","On Khaz Algar complete the quest ""Worldsoul: Awakening Machine"".",664,164223,100,0,0
Awakening the Machine: Open Kuldas' Toolbox,On Khaz Algar open Kuldas' Toolboxes  during the Awakening the Machine event.,665,164225,100,0,0
Defeat Elite Rares on Khaz Algar,,666,164227,100,0,0
Obtain 100 Kej,,667,164582,50,0,0
Obtain 300 Kej,,668,164584,50,667,0
"Complete ""The Theater Troupe""","On Khaz Algar complete the quest ""The Theater Troupe"".",669,164689,100,0,0
Defeat a Khaz Algar World Boss,,670,165620,100,0,0
Activate 3 Lesser Keyflames,On Khaz Algar activate Lesser Keyflames.,671,165788,50,0,0
Activate 5 Lesser Keyflames,On Khaz Algar activate Lesser Keyflames.,672,165790,50,671,0
Contribute 30 Radiant Remnants,Contribute Radiant Remnants to any Keyflame.,673,165792,80,0,0
Contribute 130 Radiant Remnants,Contribute Radiant Remnants to any Keyflame.,674,165794,120,673,0
Complete a Hillhelm Family Quest,,675,165802,80,0,0
"Complete ""Nerubian Device""",,676,165804,150,0,0
"Complete ""Worldsoul: Spreading the Light""","On Khaz Algar complete the quest ""Worldsoul: Spreading the Light"".",677,165808,100,0,0
"Complete ""Worldsoul: Pact""","On Khaz Algar complete the quest ""Worldsoul: Pact"".",678,165810,100,0,0
Loot Pact Treasures,"On Khaz Algar loot Weave-Rat Caches, Memorial Treasures, or Kaheti Excavations.",679,166829,100,0,0
Pact Rumors Completed,On Khaz Algar complete pact rumors.,680,166831,100,0,0
Loot a Nerubian Caravan,On Khaz Algar loot a Nerubian caravan.,681,166833,100,0,0
Obtain Valorstones,,682,166858,75,0,0
Upgrade Items Using Valorstones,,683,166860,75,0,0
Complete Weekly Gathering Quests,Speak to a gathering profession trainer in the Forgegrounds in Dornogal.,684,166862,100,0,0
Hallow's End: Visit Candy Buckets in Khaz Algar,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets in Khaz Algar.,685,167905,50,0,-50
